订单ID,订单日期,大区,城市,品类,商品,销售渠道,客户类型,单价,数量,销售额,折扣率,销售代表
S-20250001,2025-01-01,华东,广州,电子产品,办公椅,线下门店,个人客户,4999,5,24995,0,刘洋
S-20250002,2025-01-03,华北,深圳,办公用品,书桌,企业直销,企业客户,92,2,175,0.05,陈晨
S-20250003,2025-01-05,华南,成都,家具,空气净化器,经销商,教育机构,945,3,2608,0.08,张敏
S-20250004,2025-01-07,西南,杭州,家电,跑步鞋,直播渠道,政府机构,1368,4,4925,0.1,李雷
S-20250005,2025-01-09,西北,南京,运动户外,双肩包,线上商城,个人客户,341,5,1500,0.12,王芳
S-20250006,2025-01-11,东北,武汉,服饰配件,打印纸,线下门店,企业客户,514,10,5140,0,赵强
S-20250007,2025-01-13,华东,西安,电子产品,投影仪,企业直销,教育机构,5137,7,34161,0.05,刘洋
S-20250008,2025-01-15,华北,青岛,办公用品,键盘,经销商,政府机构,69,8,508,0.08,陈晨
S-20250009,2025-01-17,华南,上海,家具,咖啡机,直播渠道,个人客户,922,9,7468,0.1,张敏
S-20250010,2025-01-19,西南,北京,家电,笔记本电脑,线上商城,企业客户,1345,10,11836,0.12,李雷
S-20250011,2025-01-21,西北,广州,运动户外,显示器,线下门店,教育机构,318,15,4770,0,王芳
S-20250012,2025-01-23,东北,深圳,服饰配件,无线鼠标,企业直销,政府机构,491,1,466,0.05,赵强
S-20250013,2025-01-25,,成都,电子产品,办公椅,经销商,个人客户,5114,2,9410,0.08,刘洋
S-20250014,2025-01-27,华北,杭州,办公用品,书桌,直播渠道,企业客户,207,3,559,0.1,陈晨
S-20250015,2025-01-29,华南,南京,家具,空气净化器,线上商城,教育机构,899,4,3164,0.12,张敏
S-20250016,2025-01-31,西南,武汉,家电,跑步鞋,线下门店,政府机构,1322,9,11898,0,李雷
S-20250017,2025-02-02,西北,西安,运动户外,双肩包,企业直销,个人客户,295,6,1682,0.05,王芳
S-20250018,2025-02-04,东北,青岛,服饰配件,打印纸,经销商,企业客户,468,7,3014,0.08,赵强
S-20250019,2025-02-06,华东,上海,电子产品,投影仪,直播渠道,教育机构,5091,8,36655,0.1,刘洋
S-20250020,2025-02-08,华北,北京,办公用品,键盘,线上商城,政府机构,184,9,1457,0.12,陈晨
S-20250021,2025-02-10,华南,广州,家具,咖啡机,线下门店,个人客户,1037,14,14518,0,张敏
S-20250022,2025-02-12,西南,深圳,家电,笔记本电脑,企业直销,企业客户,1299,11,13575,0.05,李雷
S-20250023,2025-02-14,西北,成都,运动户外,显示器,经销商,教育机构,272,1,250,0.08,王芳
S-20250024,2025-02-16,东北,杭州,服饰配件,无线鼠标,直播渠道,政府机构,445,2,801,0.1,赵强
S-20250025,2025-02-18,华东,南京,电子产品,办公椅,线上商城,个人客户,5068,3,13380,0.12,刘洋
S-20250026,2025-02-20,华北,武汉,办公用品,书桌,线下门店,企业客户,161,8,1288,0,陈晨
S-20250027,2025-02-22,华南,西安,家具,空气净化器,企业直销,教育机构,1014,5,4817,0.05,张敏
S-20250028,2025-02-24,西南,青岛,家电,跑步鞋,经销商,政府机构,1437,6,7932,0.08,李雷
S-20250029,2025-02-26,西北,上海,运动户外,双肩包,直播渠道,个人客户,249,7,1569,0.1,王芳
S-20250030,2025-02-28,东北,北京,服饰配件,打印纸,线上商城,企业客户,422,8,2971,0.12,赵强
S-20250031,2025-03-02,华东,广州,电子产品,投影仪,线下门店,教育机构,5045,13,65585,0,刘洋
S-20250032,2025-03-04,华北,深圳,办公用品,键盘,企业直销,政府机构,138,10,1311,0.05,陈晨
S-20250033,2025-03-06,华南,成都,家具,咖啡机,经销商,个人客户,991,11,10029,0.08,张敏
S-20250034,2025-03-08,西南,杭州,家电,笔记本电脑,直播渠道,企业客户,1414,1,1273,0.1,李雷
S-20250035,2025-03-10,西北,南京,运动户外,显示器,线上商城,教育机构,387,2,,0.12,王芳
S-20250036,2025-03-12,东北,武汉,服饰配件,无线鼠标,线下门店,政府机构,399,7,2793,0,赵强
S-20250037,2025-03-14,华东,西安,电子产品,办公椅,企业直销,个人客户,5022,4,19084,0.05,刘洋
S-20250038,2025-03-16,华北,青岛,办公用品,书桌,经销商,企业客户,115,5,529,0.08,陈晨
S-20250039,2025-03-18,华南,上海,家具,空气净化器,直播渠道,教育机构,968,6,5227,0.1,张敏
S-20250040,2025-03-20,西南,北京,家电,跑步鞋,线上商城,政府机构,1391,7,8569,0.12,李雷
